drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_anchor,r2_anchor,r2_gain_vs_loglinear,pearson_gain_vs_loglinear
(+)-JQ1,10.0,all_retained_genes,0.9885780885151229,0.9879153527917872,0.96961135711034,0.9663590904025888,0.0006627357233356,0.003252266707751,0.9902834908612423,0.9796699802452253,0.013310889842636509,0.002368138069455128
(+)-JQ1,10.0,top100_DE,0.9728985772462748,0.9724547812218212,0.9217446493488785,0.9156666481376072,0.0004437960244536,0.0060780012112711,0.972102315942087,0.9398458398300868,0.024179191692479618,-0.0003524652797342043
(+)-JQ1,10.0,top500_HVG,0.9929986212348928,0.992506223965756,0.9794980389663196,0.9767112367930172,0.0004923972691368,0.0027868021733024,0.9943669430699889,0.9879693698795067,0.011258133086489486,0.0018607191042327997
(+)-JQ1,100.0,all_retained_genes,0.9764384168676314,0.9774563481275016,0.951811885412353,0.9546372365265712,-0.0010179312598701,-0.0028253511142183,0.9786631175042223,0.955704476397423,0.0010672398708517772,0.0012067693767207066
(+)-JQ1,100.0,top100_DE,0.9562969964517186,0.9573042607437376,0.9089375347268612,0.9086130550497086,-0.001007264292019,0.0003244796771527,0.9531901490593789,0.87763019304572,-0.030982862003988587,-0.004114111684358712
(+)-JQ1,100.0,top500_HVG,0.9819443312085008,0.9827420194058196,0.9639107566512648,0.9657474361110128,-0.000797688197319,-0.0018366794597478,0.9836700314196384,0.9629290560542701,-0.00281838005674262,0.0009280120138187575
(+)-JQ1,1000.0,all_retained_genes,0.947589661741716,0.9493163383236858,0.8971775802603851,0.9011743571779746,-0.0017266765819698,-0.0039967769175894,0.9484021318056766,0.8927445453528218,-0.008429811825152789,-0.0009142065180092196
(+)-JQ1,1000.0,top100_DE,0.9124275736019604,0.9111097434188414,0.8147125353173459,0.8026579344613077,0.0013178301831188,0.0120546008560381,0.9040401306290038,0.7494329607704611,-0.053224973690846666,-0.007069612789837643
(+)-JQ1,1000.0,top500_HVG,0.9553617225079892,0.9570780385544116,0.912569448137858,0.9137520304121108,-0.0017163160464224,-0.0011825822742528,0.9575283737642026,0.9014414093325575,-0.012310621079553385,0.0004503352097909863
(+)-JQ1,10000.0,all_retained_genes,0.9357647399653222,0.9357647399653222,0.8723561313577978,0.8723561313577978,0.0,0.0,0.9334871811381963,0.8709895754656166,-0.0013665558921811538,-0.0022775588271258806
(+)-JQ1,10000.0,top100_DE,0.8643361977052025,0.8643361977052025,0.7376752172400707,0.7376752172400707,0.0,0.0,0.8493977642349533,0.6949930776453489,-0.04268213959472178,-0.014938433470249257
(+)-JQ1,10000.0,top500_HVG,0.9488360634240308,0.9488360634240308,0.900279684552573,0.900279684552573,0.0,0.0,0.9494561414962458,0.8955004967041553,-0.0047791878484176875,0.0006200780722149801
Trametinib (GSK1120212),10.0,all_retained_genes,0.920772859134541,0.9248889338749212,0.8468747128800689,0.8521281610283824,-0.0041160747403803,-0.0052534481483135,0.9268096771897628,0.8429564486506307,-0.009171712377751717,0.0019207433148415998
Trametinib (GSK1120212),10.0,top100_DE,0.760984043034733,0.7635815166603589,0.5613837890182061,0.5441466824335572,-0.0025974736256259,0.0172371065846488,0.7626307775318261,0.49595724415141473,-0.048189438282142505,-0.0009507391285328293
Trametinib (GSK1120212),10.0,top500_HVG,0.9268737790672792,0.9329062295137605,0.8581753213642296,0.8683699219203366,-0.006032450446481,-0.0101946005561069,0.9353794633402742,0.8638159318601786,-0.0045539900601579975,0.0024732338265137654
Trametinib (GSK1120212),100.0,all_retained_genes,0.9168183434716052,0.92001365370861,0.839897152602406,0.8437974902099253,-0.003195310237005,-0.0039003376075192,0.9224746206054535,0.8367548041144126,-0.007042686095512729,0.0024609668968434972
Trametinib (GSK1120212),100.0,top100_DE,0.8108116991100938,0.8121402447476688,0.6543684446063351,0.6415740148481792,-0.001328545637575,0.0127944297581559,0.8129646138394915,0.6069714632649492,-0.03460255158323,0.0008243690918227076
Trametinib (GSK1120212),100.0,top500_HVG,0.9204600096235592,0.925033810752744,0.8467069201672208,0.8538809438676104,-0.0045738011291845,-0.0071740237003895,0.9274177118866623,0.849239722362608,-0.004641221505002346,0.002383901133918287
Trametinib (GSK1120212),1000.0,all_retained_genes,0.9079979201756508,0.9103885103066144,0.8230960845308931,0.8271930954630712,-0.0023905901309634,-0.004097010932178,0.9141477073420328,0.8267804283267515,-0.00041266713631971097,0.0037591970354183823
Trametinib (GSK1120212),1000.0,top100_DE,0.6951294305548575,0.6969793797060583,0.4432819895667945,0.4320257561188363,-0.0018499491512007,0.0112562334479582,0.6997587595888153,0.3905019000527836,-0.04152385606605269,0.002779379882757005
Trametinib (GSK1120212),1000.0,top500_HVG,0.9134409818943467,0.91607874821023,0.8331709168057335,0.8367809292474664,-0.0026377663158831,-0.0036100124417328,0.919679145896498,0.8348349874434532,-0.001945941804013196,0.0036003976862679643
Trametinib (GSK1120212),10000.0,all_retained_genes,0.9013596301294752,0.9013596301294752,0.8111570200988387,0.8111570200988387,0.0,0.0,0.9040362725926561,0.8110184449250406,-0.00013857517379811668,0.0026766424631808894
