drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_hybrid,r2_hybrid,pearson_gain_vs_loglinear,r2_gain_vs_loglinear
(+)-JQ1,10.0,all_retained_genes,0.9885780885151229,0.9879153527917872,0.96961135711034,0.9663590904025888,0.0006627357233356,0.003252266707751,0.9882453891426618,0.9678269498963152,0.00033003635087458516,0.001467859493726409
(+)-JQ1,10.0,top100_DE,0.9728985772462748,0.9724547812218212,0.9217446493488785,0.9156666481376072,0.0004437960244536,0.0060780012112711,0.9726010314270397,0.9184285736773374,0.00014625020521852328,0.0027619255397302034
(+)-JQ1,10.0,top500_HVG,0.9929986212348928,0.992506223965756,0.9794980389663196,0.9767112367930172,0.0004923972691368,0.0027868021733024,0.9926745749617015,0.9776583353063832,0.00016835099594547653,0.0009470985133660514
(+)-JQ1,100.0,all_retained_genes,0.9764384168676314,0.9774563481275016,0.951811885412353,0.9546372365265712,-0.0010179312598701,-0.0028253511142183,0.976401380947383,0.9523177561111441,-0.001054967180118549,-0.0023194804154270665
(+)-JQ1,100.0,top100_DE,0.9562969964517186,0.9573042607437376,0.9089375347268612,0.9086130550497086,-0.001007264292019,0.0003244796771527,0.9557795589625706,0.9065153278754897,-0.0015247017811670371,-0.0020977271742188552
(+)-JQ1,100.0,top500_HVG,0.9819443312085008,0.9827420194058196,0.9639107566512648,0.9657474361110128,-0.000797688197319,-0.0018366794597478,0.9820263693441955,0.9643005588599665,-0.0007156500616241068,-0.001446877251046308
(+)-JQ1,1000.0,all_retained_genes,0.947589661741716,0.9493163383236858,0.8971775802603851,0.9011743571779746,-0.0017266765819698,-0.0039967769175894,0.9460719856553028,0.8950088693208521,-0.003244352668382966,-0.006165487857122454
(+)-JQ1,1000.0,top100_DE,0.9124275736019604,0.9111097434188414,0.8147125353173459,0.8026579344613077,0.0013178301831188,0.0120546008560381,0.908782693685026,0.8015463602218712,-0.0023270497338154783,-0.0011115742394365302
(+)-JQ1,1000.0,top500_HVG,0.9553617225079892,0.9570780385544116,0.912569448137858,0.9137520304121108,-0.0017163160464224,-0.0011825822742528,0.9543539963501545,0.9093027856747473,-0.002724042204257149,-0.0044492447373635224
(+)-JQ1,10000.0,all_retained_genes,0.9357647399653222,0.9357647399653222,0.8723561313577978,0.8723561313577978,0.0,0.0,0.935764741710999,0.8723561306605132,1.7456768253154564e-09,-6.97284563422329e-10
