drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_calibrated,r2_calibrated,r2_gain_vs_loglinear,pearson_gain_vs_loglinear
(+)-JQ1,10.0,all_retained_genes,0.9885780885151229,0.9879153527917872,0.96961135711034,0.9663590904025888,0.0006627357233356,0.003252266707751,0.9888711238006553,0.9711766338003947,0.0048175433978058235,0.0009557710088681226
(+)-JQ1,10.0,top100_DE,0.9728985772462748,0.9724547812218212,0.9217446493488785,0.9156666481376072,0.0004437960244536,0.0060780012112711,0.9730543821514743,0.9247073609457996,0.009040712808192408,0.0005996009296531657
(+)-JQ1,10.0,top500_HVG,0.9929986212348928,0.992506223965756,0.9794980389663196,0.9767112367930172,0.0004923972691368,0.0027868021733024,0.9932258816278889,0.9808386314638019,0.004127394670784712,0.0007196576621328887
(+)-JQ1,100.0,all_retained_genes,0.9764384168676314,0.9774563481275016,0.951811885412353,0.9546372365265712,-0.0010179312598701,-0.0028253511142183,0.9767182673732013,0.9526024456307687,-0.0020347908958024963,-0.0007380807543002632
(+)-JQ1,100.0,top100_DE,0.9562969964517186,0.9573042607437376,0.9089375347268612,0.9086130550497086,-0.001007264292019,0.0003244796771527,0.9565740350376872,0.9089662117528425,0.0003531567031339611,-0.0007302257060504136
(+)-JQ1,100.0,top500_HVG,0.9819443312085008,0.9827420194058196,0.9639107566512648,0.9657474361110128,-0.000797688197319,-0.0018366794597478,0.9821603650556261,0.9644409088734353,-0.001306527237577515,-0.0005816543501935278
(+)-JQ1,1000.0,all_retained_genes,0.947589661741716,0.9493163383236858,0.8971775802603851,0.9011743571779746,-0.0017266765819698,-0.0039967769175894,0.9468398998403156,0.895196500033963,-0.005977857144011556,-0.0024764384833702024
(+)-JQ1,1000.0,top100_DE,0.9124275736019604,0.9111097434188414,0.8147125353173459,0.8026579344613077,0.0013178301831188,0.0120546008560381,0.9126160929792978,0.8170495652068038,0.014391630745496098,0.001506349560456366
(+)-JQ1,1000.0,top500_HVG,0.9553617225079892,0.9570780385544116,0.912569448137858,0.9137520304121108,-0.0017163160464224,-0.0011825822742528,0.9547008498812164,0.9114291627659092,-0.0023228676462015985,-0.002377188673195252
(+)-JQ1,10000.0,all_retained_genes,0.9357647399653222,0.9357647399653222,0.8723561313577978,0.8723561313577978,0.0,0.0,0.9357647399653222,0.8723561313577978,0.0,0.0
(+)-JQ1,10000.0,top100_DE,0.8643361977052025,0.8643361977052025,0.7376752172400707,0.7376752172400707,0.0,0.0,0.8643361977052025,0.7376752172400707,0.0,0.0
(+)-JQ1,10000.0,top500_HVG,0.9488360634240308,0.9488360634240308,0.900279684552573,0.900279684552573,0.0,0.0,0.9488360634240307,0.900279684552573,0.0,-1.1102230246251565e-16
Trametinib (GSK1120212),10.0,all_retained_genes,0.920772859134541,0.9248889338749212,0.8468747128800689,0.8521281610283824,-0.0041160747403803,-0.0052534481483135,0.9201660284304757,0.8454872846071653,-0.0066408764212171345,-0.004722905444445535
Trametinib (GSK1120212),10.0,top100_DE,0.760984043034733,0.7635815166603589,0.5613837890182061,0.5441466824335572,-0.0025974736256259,0.0172371065846488,0.7604950703960929,0.5620729880849468,0.01792630565138953,-0.0030864462642660184
Trametinib (GSK1120212),10.0,top500_HVG,0.9268737790672792,0.9329062295137605,0.8581753213642296,0.8683699219203366,-0.006032450446481,-0.0101946005561069,0.9261685071088352,0.8567050325619381,-0.01166488935839849,-0.006737722404925206
Trametinib (GSK1120212),100.0,all_retained_genes,0.9168183434716052,0.92001365370861,0.839897152602406,0.8437974902099253,-0.003195310237005,-0.0039003376075192,0.9168329755875677,0.839927145850134,-0.003870344359791389,-0.0031806781210422796
Trametinib (GSK1120212),100.0,top100_DE,0.8108116991100938,0.8121402447476688,0.6543684446063351,0.6415740148481792,-0.001328545637575,0.0127944297581559,0.8108207154183205,0.6543467807363927,0.012772765888213522,-0.0013195293293483124
Trametinib (GSK1120212),100.0,top500_HVG,0.9204600096235592,0.925033810752744,0.8467069201672208,0.8538809438676104,-0.0045738011291845,-0.0071740237003895,0.9204780699142593,0.8467417996248211,-0.007139144242789275,-0.004555740838484756
Trametinib (GSK1120212),1000.0,all_retained_genes,0.9079979201756508,0.9103885103066144,0.8230960845308931,0.8271930954630712,-0.0023905901309634,-0.004097010932178,0.9079810263304791,0.823060727665564,-0.0041323677975071416,-0.0024074839761353273
Trametinib (GSK1120212),1000.0,top100_DE,0.6951294305548575,0.6969793797060583,0.4432819895667945,0.4320257561188363,-0.0018499491512007,0.0112562334479582,0.6951164727805245,0.44334343993679526,0.011317683817958946,-0.0018629069255338138
Trametinib (GSK1120212),1000.0,top500_HVG,0.9134409818943467,0.91607874821023,0.8331709168057335,0.8367809292474664,-0.0026377663158831,-0.0036100124417328,0.9134227681956567,0.8331412595038555,-0.0036396697436108516,-0.0026559800145733448
Trametinib (GSK1120212),10000.0,all_retained_genes,0.9013596301294752,0.9013596301294752,0.8111570200988387,0.8111570200988387,0.0,0.0,0.9013596301294751,0.8111570200988387,0.0,-1.1102230246251565e-16
Trametinib (GSK1120212),10000.0,top100_DE,0.7038418250532795,0.7038418250532795,0.4659209440707997,0.4659209440707997,0.0,0.0,0.7038418250532795,0.46592094407079976,5.551115123125783e-17,0.0
Trametinib (GSK1120212),10000.0,top500_HVG,0.9088977283406328,0.9088977283406328,0.8249124777628509,0.8249124777628509,0.0,0.0,0.9088977283406328,0.8249124777628509,0.0,0.0
