drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement
(+)-JQ1,10.0,all_retained_genes,0.9885780885151229,0.9879153527917872,0.9696113571103399,0.9663590904025888,0.000662735723335639,0.003252266707751028
(+)-JQ1,10.0,top100_DE,0.9728985772462748,0.9724547812218212,0.9217446493488783,0.9156666481376072,0.0004437960244536576,0.006078001211271111
(+)-JQ1,10.0,top500_HVG,0.9929986212348929,0.992506223965756,0.9794980389663196,0.9767112367930172,0.0004923972691368572,0.002786802173302405
(+)-JQ1,100.0,all_retained_genes,0.9764384168676314,0.9774563481275016,0.951811885412353,0.9546372365265713,-0.0010179312598701529,-0.002825351114218333
(+)-JQ1,100.0,top100_DE,0.9562969964517186,0.9573042607437376,0.9089375347268613,0.9086130550497086,-0.0010072642920190278,0.00032447967715276693
(+)-JQ1,100.0,top500_HVG,0.9819443312085007,0.9827420194058197,0.9639107566512648,0.9657474361110127,-0.0007976881973190686,-0.0018366794597478586
(+)-JQ1,1000.0,all_retained_genes,0.9475896617417159,0.9493163383236858,0.8971775802603851,0.9011743571779746,-0.0017266765819698993,-0.003996776917589484
(+)-JQ1,1000.0,top100_DE,0.9124275736019603,0.9111097434188414,0.8147125353173459,0.8026579344613077,0.0013178301831188177,0.012054600856038156
(+)-JQ1,1000.0,top500_HVG,0.9553617225079892,0.9570780385544116,0.9125694481378579,0.9137520304121107,-0.001716316046422417,-0.0011825822742528302
(+)-JQ1,10000.0,all_retained_genes,0.9357647399653222,0.9357647399653222,0.8723561313577978,0.8723561313577978,0.0,0.0
(+)-JQ1,10000.0,top100_DE,0.8643361977052025,0.8643361977052025,0.7376752172400707,0.7376752172400707,0.0,0.0
(+)-JQ1,10000.0,top500_HVG,0.9488360634240307,0.9488360634240307,0.900279684552573,0.900279684552573,0.0,0.0
Trametinib (GSK1120212),10.0,all_retained_genes,0.920772859134541,0.9248889338749213,0.8468747128800689,0.8521281610283824,-0.004116074740380338,-0.005253448148313522
Trametinib (GSK1120212),10.0,top100_DE,0.760984043034733,0.7635815166603589,0.5613837890182061,0.5441466824335572,-0.0025974736256259012,0.01723710658464883
Trametinib (GSK1120212),10.0,top500_HVG,0.9268737790672793,0.9329062295137603,0.8581753213642296,0.8683699219203366,-0.006032450446481041,-0.010194600556106992
Trametinib (GSK1120212),100.0,all_retained_genes,0.9168183434716051,0.9200136537086101,0.839897152602406,0.8437974902099253,-0.0031953102370050335,-0.0039003376075192886
Trametinib (GSK1120212),100.0,top100_DE,0.8108116991100938,0.8121402447476688,0.6543684446063351,0.6415740148481792,-0.001328545637575007,0.012794429758155923
Trametinib (GSK1120212),100.0,top500_HVG,0.9204600096235593,0.9250338107527439,0.8467069201672208,0.8538809438676104,-0.004573801129184596,-0.0071740237003895535
Trametinib (GSK1120212),1000.0,all_retained_genes,0.9079979201756508,0.9103885103066143,0.8230960845308931,0.8271930954630712,-0.0023905901309634325,-0.004097010932178069
Trametinib (GSK1120212),1000.0,top100_DE,0.6951294305548575,0.6969793797060583,0.44328198956679454,0.4320257561188363,-0.001849949151200736,0.01125623344795823
Trametinib (GSK1120212),1000.0,top500_HVG,0.9134409818943469,0.91607874821023,0.8331709168057335,0.8367809292474664,-0.0026377663158831943,-0.0036100124417328683
Trametinib (GSK1120212),10000.0,all_retained_genes,0.9013596301294751,0.9013596301294751,0.8111570200988387,0.8111570200988387,0.0,0.0
Trametinib (GSK1120212),10000.0,top100_DE,0.7038418250532795,0.7038418250532795,0.46592094407079976,0.46592094407079976,0.0,0.0
Trametinib (GSK1120212),10000.0,top500_HVG,0.9088977283406328,0.9088977283406328,0.8249124777628509,0.8249124777628509,0.0,0.0
