drug,dose_nM,method,gene_set,n_genes,pearson,r2,n_true_cells,n_pred_cells
(+)-JQ1,10000.0,dose_specific_direction,top100_DE,100,0.8643361977052025,0.7376752172400707,223,500
Trametinib (GSK1120212),10.0,dose_specific_direction,all_retained_genes,2000,0.9170597499295132,0.8360382929780092,167,500
Trametinib (GSK1120212),10.0,dose_specific_direction,top500_HVG,500,0.9233386748510588,0.8475857238252433,167,500
Trametinib (GSK1120212),10.0,dose_specific_direction,top100_DE,100,0.755684447175116,0.5611292564132564,167,500
Trametinib (GSK1120212),100.0,dose_specific_direction,all_retained_genes,2000,0.9184171120647044,0.8430300442933162,176,500
Trametinib (GSK1120212),100.0,dose_specific_direction,top500_HVG,500,0.9218807177175876,0.8492408576791991,176,500
Trametinib (GSK1120212),100.0,dose_specific_direction,top100_DE,100,0.8141470195853779,0.6609905225334909,176,500
Trametinib (GSK1120212),1000.0,dose_specific_direction,all_retained_genes,2000,0.9087993972142383,0.8231071620327068,210,500
Trametinib (GSK1120212),1000.0,dose_specific_direction,top500_HVG,500,0.913583907104407,0.8330214065318187,210,500
Trametinib (GSK1120212),1000.0,dose_specific_direction,top100_DE,100,0.700016722014252,0.46680235441110984,210,500
Trametinib (GSK1120212),10000.0,dose_specific_direction,all_retained_genes,2000,0.9013596301294751,0.8111570200988387,171,500
Trametinib (GSK1120212),10000.0,dose_specific_direction,top500_HVG,500,0.9088977283406328,0.8249124777628509,171,500
Trametinib (GSK1120212),10000.0,dose_specific_direction,top100_DE,100,0.7038418250532795,0.46592094407079976,171,500
