drug,hill_coefficient,ec50_nM,training_fit_rmse,n_training_points
(+)-JQ1,0.8144973222257469,70.7483323992005,0.06339050283814775,8
Trametinib (GSK1120212),0.10000000000000062,0.0010000000147766545,0.103015702529194,8
