drug,gene,loglinear_rmse,dose_specific_rmse,rmse_improvement,selection
(+)-JQ1,KRT81,0.38819374797091666,0.34823236,0.03996138927684012,largest DSDR RMSE gain among top100 high-dose DE genes
Trametinib (GSK1120212),ASPH,0.4110492938628072,0.24638005,0.1646692478527898,largest DSDR RMSE gain among top100 high-dose DE genes
