drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_residual,r2_residual,r2_gain_vs_loglinear,pearson_gain_vs_loglinear
(+)-JQ1,10.0,all_retained_genes,0.9885780885151229,0.9879153527917872,0.96961135711034,0.9663590904025888,0.0006627357233356,0.003252266707751,0.9871560309978189,0.9675057733426919,0.0011466829401031164,-0.000759321793968315
(+)-JQ1,10.0,top100_DE,0.9728985772462748,0.9724547812218212,0.9217446493488785,0.9156666481376072,0.0004437960244536,0.0060780012112711,0.9703046964274398,0.9179387076907061,0.0022720595530988374,-0.0021500847943813906
(+)-JQ1,10.0,top500_HVG,0.9929986212348928,0.992506223965756,0.9794980389663196,0.9767112367930172,0.0004923972691368,0.0027868021733024,0.9919476840214118,0.977720485046273,0.0010092482532557678,-0.000558539944344294
(+)-JQ1,100.0,all_retained_genes,0.9764384168676314,0.9774563481275016,0.951811885412353,0.9546372365265712,-0.0010179312598701,-0.0028253511142183,0.9751453811621827,0.950812530419955,-0.003824706106616227,-0.0023109669653188503
(+)-JQ1,100.0,top100_DE,0.9562969964517186,0.9573042607437376,0.9089375347268612,0.9086130550497086,-0.001007264292019,0.0003244796771527,0.9559168073047632,0.9018491109983038,-0.006763944051404791,-0.0013874534389743953
(+)-JQ1,100.0,top500_HVG,0.9819443312085008,0.9827420194058196,0.9639107566512648,0.9657474361110128,-0.000797688197319,-0.0018366794597478,0.9804030183497551,0.9607335320008313,-0.005013904110181433,-0.002339001056064549
(+)-JQ1,1000.0,all_retained_genes,0.947589661741716,0.9493163383236858,0.8971775802603851,0.9011743571779746,-0.0017266765819698,-0.0039967769175894,0.9429242388424878,0.8871443372463688,-0.014030019931605797,-0.00639209948119801
(+)-JQ1,1000.0,top100_DE,0.9124275736019604,0.9111097434188414,0.8147125353173459,0.8026579344613077,0.0013178301831188,0.0120546008560381,0.9076884901334423,0.7835286759326301,-0.01912925852867764,-0.0034212532853991062
(+)-JQ1,1000.0,top500_HVG,0.9553617225079892,0.9570780385544116,0.912569448137858,0.9137520304121108,-0.0017163160464224,-0.0011825822742528,0.9527379228644162,0.9009008473115475,-0.012851183100563324,-0.004340115689995483
(+)-JQ1,10000.0,all_retained_genes,0.9357647399653222,0.9357647399653222,0.8723561313577978,0.8723561313577978,0.0,0.0,0.9330965678530408,0.8699670435264696,-0.002389087831328185,-0.0026681721122813196
