gene,highly_variable,means,dispersions,dispersions_norm,hvg_rank
TNFRSF1B,True,0.2605921286272047,2.529754350558836,1.3005944,1353
POU2F2,True,0.10855433199746096,2.7440774610624494,2.2257662,368
ANK1,True,1.1731568096569198,3.016854937860916,2.5865543,224
TFB1M,True,0.36883462252059473,2.480451223940186,1.0188743,1972
LRRC7,True,0.13697043519954138,2.644229218755848,1.7947499,677
GAB2,True,1.1793789094615486,2.7697704992030667,1.5097419,1015
APBA2,True,0.3642815042917349,2.5713392713944123,1.5459273,963
FBXO42,True,1.257472945110762,2.719725841444498,1.2916436,1369
VCAN,True,0.14396380449176785,2.646517503236715,1.8046278,665
MSR1,True,0.1385374406208923,2.4835929014710887,1.1013287,1785
RAI14,True,0.5553391541477184,2.5174432950157746,1.2333885,1481
MYO16,True,0.47205339503531224,2.5419206524465823,1.3753309,1218
RIPOR3,True,0.9047743961303092,2.9117901707383402,2.5652921,230
HSPA5,True,1.1091279974513275,2.718291950532257,1.2853945,1380
GPM6B,True,0.025231859810781236,2.6336309971668728,1.7490003,719
CP,True,0.14268803456034612,2.723818281718576,2.138313,405
ARHGAP6,True,0.8251399091130532,2.9701321499467124,2.8375196,160
CELF2,True,0.2460349497013809,2.64456799875337,1.7962123,674
COL9A2,True,0.02684790601310583,2.5544800826237783,1.4073284,1176
ADAMTS6,True,0.3052371274981473,2.7261826273897714,2.1485193,400
LTBP1,True,1.0003954862196176,2.6253331277036143,1.2286655,1487
PTGER3,True,0.28012882357987096,2.6244672364473987,1.709443,772
MSMO1,True,0.4342415241755868,2.590071668369582,1.6545551,840
MCF2L2,True,0.3447928266660418,2.571413184802035,1.4804238,1057
KCNQ1,True,0.14999587647568713,2.5814866999917485,1.5239083,994
KCNH2,True,0.20924828369289597,2.5312158635923456,1.3069035,1343
DCBLD2,True,0.808790548281609,2.712015822066823,1.6331323,850
DGKG,True,0.12567781168799028,2.7677341867610075,2.3278856,329
TBXAS1,True,0.15666573002295475,2.5876256252874956,1.5504082,959
PARP12,True,0.18690991657224743,2.468794767853697,1.0374494,1918
SLC2A3,True,0.8448801557703408,3.216667891863541,3.987871,53
BCAT1,True,0.7026695897930706,2.7984167587325235,2.8627326,154
LTK,True,0.08151690983544163,2.679625808267651,1.9475468,553
ISOC2,True,0.2156278577981127,2.5539288095038954,1.4049487,1178
ZNF275,True,0.11668216554715344,2.471910461004038,1.0508989,1891
LIMCH1,True,0.4054529276712794,2.55453250588779,1.4484661,1104
TSPAN32,True,0.08420759582681465,2.5864022836146283,1.5451275,964
OAT,True,0.32504854861518095,2.48205899280021,1.0947073,1802
TMEM206,True,0.1699012822912084,2.5481545531855874,1.3800229,1212
PRKCQ,True,0.17777315578101377,2.5592526967209253,1.4279305,1144
TLE2,True,0.1470153458929905,2.6468110318360996,1.8058949,663
FAM107B,True,0.666749711916825,2.61095210807556,1.7756392,695
ASPM,True,1.2653936929706109,2.981334857404968,2.431755,283
CD84,True,0.11136717076196163,3.0100385728197443,3.3738446,92
FECH,True,0.21520261600414367,2.661598377245896,1.8697276,612
OTUD5,True,0.501720501893662,2.5274488380023254,1.29141,1371
ACSL4,True,0.40643470942852733,2.666270602142049,2.096427,441
PRR11,True,1.127439140246921,2.6841518540711573,1.1366096,1703
PPP2R5B,True,0.07953108698445534,2.463592405217248,1.0149922,1984
PITX1,True,0.34112883619036105,2.6253337212120815,1.7131834,766
TGFBR3,True,0.5891972003295731,2.7284358582842705,2.4569187,274
RAB27A,True,0.5468023982827301,2.50750367374241,1.1757494,1600
UFD1,True,0.480926429488329,2.509861037930917,1.1894196,1574
SPTB,True,0.38083582485670364,2.6965377491628697,2.2719438,337
CLTCL1,True,0.5696760301436061,2.5969325313501463,1.6943407,795
MNT,True,0.21653298713378874,2.5574371895618344,1.4200934,1156
JMJD6,True,0.20161646712887507,2.539875693034746,1.3442855,1277
ST6GALNAC1,True,0.12947184117653263,2.693932021530359,2.0093026,501
FRMPD1,True,0.059445562312539606,3.0975070556118016,3.751421,64
ASNS,True,0.17902096952157082,2.655215546641136,1.8421746,624
EIF2B3,True,0.99738359687778,2.744747212044208,1.7858591,682
OSBPL3,True,0.5444044953625945,2.5592741271360406,1.4759624,1068
RAD18,True,0.5960238488977632,2.4822805593741424,1.0294825,1938
TRIB2,True,0.07821194990416684,2.535661018854789,1.3260919,1305
MYO3B,True,0.31525869895119213,2.9789899939216165,3.2398167,106
CYBRD1,True,0.2617446331987377,2.549779682807415,1.3870381,1200
SPEG,True,0.04017637145713498,2.5040526869361526,1.1896477,1573
TFRC,True,1.3228899927644566,2.8086943405049642,1.6793749,810
RHOBTB1,True,0.3059038509896383,2.500697151842307,1.1751628,1603
TRHDE,True,0.03543643202256788,2.692519180084733,2.0032039,507
TP63,True,0.3587099009142168,2.8647407278805255,2.7466352,180
CLCN4,True,0.06662399055259897,2.561978886353001,1.4396986,1120
GSDMB,True,0.09456562964737793,2.6170756204333347,1.6775355,813
PTGS2,True,0.11213113070141321,2.6551159747934774,1.8417449,626
IGF2BP2,True,0.859997643328219,2.7810441119572005,1.9552227,544
ST6GAL1,True,0.802755011242625,2.8502621696376336,2.2781987,334
CA12,True,1.3708622401872077,3.025338739239952,2.6235273,213
NTN4,True,0.17432440231525084,2.5599164939966617,1.4307959,1139
SCARF1,True,0.05146515238472172,2.6269123095915003,1.7199976,756
LMAN1,True,0.617125398428798,2.550979990273156,1.4278654,1145
TXK,True,0.24708631277366996,2.7559985898993276,2.2772264,335
SEMA3A,True,0.45137191381072594,2.648099365365601,1.9910533,523
SEMA3C,True,2.36776946171829,3.158793063147792,1.2257727,1492
ADD2,True,0.3072164119188503,2.5964237649688804,1.5883874,892
PLD1,True,0.6899585742387466,2.601571810021309,1.7212435,755
SEC31B,True,0.04797852735574896,2.6259169501204083,1.715701,764
ARHGAP15,True,0.2970382964381856,2.7222869631592013,2.131703,413
PAG1,True,0.11425626469540336,2.4854622495056145,1.1093981,1766
MCAM,True,0.2965509232357535,2.913047808253479,2.955163,138
RAP1GAP,True,0.24283919196301373,2.592377824419423,1.5709221,928
RARB,True,0.10558185792892706,2.583695980297133,1.5334451,985
ITM2A,True,0.0842293750214955,2.750529211156208,2.2536166,346
TP53INP2,True,0.028353670263575298,2.7920072973349708,2.4326656,282
FKBP7,True,0.030353956850219337,2.641372450740087,1.782418,683
OSBPL6,True,0.5277321066623563,2.5641902944838084,1.504471,1025
TNS1,True,0.0701670158395702,2.5879559028536425,1.551834,955
SENP1,True,0.37531635169217514,2.5339480892469455,1.3290986,1302
PTPRH,True,0.10544799886934593,2.7301122443446304,2.1654823,393
SLC4A4,True,0.07187902403546229,2.5216726090812656,1.265708,1418
CPOX,True,0.25790245192397093,2.612499295102555,1.6577808,836
NDC80,True,0.39084245175876886,2.624962384708867,1.8568838,618
IMPG2,True,0.03960745533330725,2.5827906200853934,1.529537,990
ARG2,True,0.19583130998901113,2.614194532636004,1.6650987,826
MEF2C,True,0.6622332771964177,2.8756461649863296,3.3105803,102
PTPRC,True,0.3044723518361255,2.612503218459735,1.6577978,835
STK17B,True,0.288399872514164,2.5523548018555697,1.3981541,1187
HSPB11,True,0.31415993826491906,2.581435870925435,1.5236889,995
IL12RB2,True,0.18246958575646116,2.6764493519083907,1.933835,566
FYB1,True,0.19120052021784972,2.893490594399756,2.8707402,152
FAM135A,True,0.48968050480943265,2.5486691418713874,1.414465,1163
TRPM3,True,0.12844730693455764,2.752029085476841,2.260091,342
DIS3,True,0.2789336504697862,2.5354500450280057,1.3251811,1309
OXCT1,True,0.3798065548482881,2.5259252149541633,1.2825745,1389
SLC27A5,True,0.24847195093783658,2.485599576464606,1.109991,1763
GSTP1,True,0.4794471894656653,2.633639756673343,1.9072032,588
SLCO1A2,True,0.15331929068444194,2.662505266401039,1.8736423,608
CD82,True,0.17701758892491973,2.548055731485508,1.3795964,1213
ORC1,True,0.2785735284313153,2.466455782592549,1.0273526,1945
CHERP,True,0.19072270101755967,2.6470866454865667,1.8070846,662
CEACAM6,True,0.3248241204848286,3.1146469879351666,3.8254092,61
ERO1B,True,0.19591061192781228,2.544415429873653,1.3638822,1233
FTL,True,1.512966165911803,2.9312475274427636,1.7617297,709
CASS4,True,0.5889958866368468,2.8604904853856348,3.2226937,109
TPX2,True,1.0338556501101732,2.581827837700396,1.025667,1955
ANKRD10,True,0.28548083492733123,2.5726765347692537,1.4858773,1052
ARHGAP28,True,0.2534163092054932,2.478677056285979,1.0801084,1832
TESC,True,0.3465799523064433,2.6084711584938147,1.6403925,845
SLC23A2,True,0.6407464744468012,2.5747771674282713,1.5658634,934
CHGB,True,0.03665309971197546,2.671187146717719,1.9111196,583
HEPH,True,0.2367122624395417,2.516549977902751,1.243595,1457
ARHGAP4,True,0.18737961424508898,2.464397841822659,1.0184691,1976
BLVRB,True,1.004531968539042,2.6057888628771395,1.1374706,1701
ICAM1,True,0.15985966066792237,2.5547314680047157,1.4084135,1173
LYZ,True,0.08568883241846206,2.51297937550484,1.2281817,1489
PABPC4,True,0.3013622940353497,2.4635490282568124,1.014805,1985
NAT14,True,0.10538451077973875,2.6293349565715656,1.7304555,740
LAMB1,True,0.4402196085421646,2.5974234940770744,1.6971878,788
ABCC6,True,0.028347269315716035,2.5446125488343228,1.3647331,1232
RAPGEF4,True,0.09260150993901753,2.65407528269042,1.8372525,631
FH,True,0.24050081317343316,2.4726878493654008,1.0542547,1883
SEL1L3,True,0.5746221151620208,2.785203948287056,2.7861125,172
NLRP1,True,0.7947278982065326,2.9014261779008734,2.5169332,246
TBX15,True,0.05578081830561738,2.7773052929547752,2.3692014,315
PHGDH,True,0.23266278148435318,2.525808003504994,1.2835592,1386
CLSPN,True,0.6046485420716572,2.5345742870040553,1.3327299,1293
CDC45,True,0.5475836085858791,2.576485971097865,1.5757726,918
AAAS,True,0.21669612025343887,2.504165621633323,1.1901352,1571
PTGS1,True,0.0912416542373982,2.5196722334650583,1.2570728,1436
CRAT,True,0.04599256933941569,2.855727715387302,2.7077286,189
IKZF5,True,0.12335976114971269,2.53121703807643,1.3069085,1342
SORBS1,True,0.6678439103539144,3.015813360486811,4.1233993,45
PCSK5,True,0.15549785001793556,2.661317274877334,1.8685142,615
PALMD,True,0.0866696927914734,2.506334810403941,1.199499,1542
MZF1,True,0.46864178748720814,2.5376872137868984,1.3507816,1259
MAGEB2,True,0.09718055575297323,2.496878029475982,1.1586767,1642
MKNK2,True,0.5072782483084168,2.6665310568340113,2.0979373,439
TRMT2A,True,0.17976043071743153,2.5006256673413585,1.1748543,1604
RNF215,True,0.352852139816011,2.541733794639834,1.3523064,1256
MAPK1,True,1.6315338561487673,2.8808184566778627,1.5621068,937
PPM1F,True,0.5521298455748462,2.5144762755511785,1.2161831,1508
TOP3B,True,0.25330580022963584,2.4928366898961216,1.1412314,1690
HIRA,True,0.5202241968501365,2.6401011610487064,1.9446723,557
LGALS1,True,0.29712239043954,2.532459191536648,1.3122705,1331
Z83844.1,True,0.021915718158088782,2.5076157835100075,1.2050287,1530
CENPM,True,0.1408976701156747,2.5711262132119512,1.479185,1059
TPTEP1,True,0.7900359152945042,2.6584784851507512,1.3833238,1206
LMF2,True,0.23022805473606128,2.5198786719487956,1.257964,1430
MCAT,True,0.07960504073575442,2.6335175442324297,1.7485106,721
APOL1,True,0.13469705172955573,2.5557847336216093,1.4129602,1164
GRAP2,True,0.20395130160766578,2.477508126987306,1.0750624,1841
SLC25A17,True,0.6575238757901162,2.532062912151226,1.3181666,1319
ST13,True,0.3738027616268294,2.5921429112768988,1.666566,824
CDKL1,True,0.30563873702241356,2.5075933065303455,1.2049316,1531
PAPLN,True,0.050315984158394104,2.533087316238599,1.3149819,1324
DHRS2,True,0.1103007860445999,2.8749051817375677,2.7905123,169
NFKBIA,True,0.12323420265398462,2.52920592421825,1.2982271,1360
PLTP,True,0.0778145828532284,2.5516138618557296,1.3949558,1188
BMP7,True,1.0457459548731016,2.6714475550265435,1.4438382,1110
CTSZ,True,0.11173500063663817,2.6088608482600697,1.6420747,844
TUBB1,True,0.11039853113398196,2.5210040419903894,1.2628219,1420
C20orf27,True,0.25466029648487026,2.485740779031279,1.1106005,1761
SNTA1,True,0.14393596539993603,2.5608825603957204,1.4349661,1129
PPP1R16B,True,0.14135757913209307,2.6797316476109243,1.9480038,552
LPIN2,True,0.5387343364038677,2.4792775847662973,1.0120685,1996
MYOM1,True,0.06609668534594039,2.472355437983246,1.0528197,1888
CEP76,True,0.22129182339617057,2.533061919827207,1.3148723,1325
LIPG,True,0.0390305256395722,2.473937155204511,1.0596476,1872
ATG4A,True,0.12680309938551435,2.473849555185465,1.0592694,1873
MID1,True,0.6837699485945697,2.654607644492344,2.0287943,490
SYP,True,0.0710866602320936,2.508501293607667,1.2088511,1522
RENBP,True,0.06581411677466384,2.6464664640001208,1.8044074,666
MTMR8,True,0.09326810179614378,2.4762395656752343,1.0695864,1856
ZC3H12B,True,0.05035943400705858,2.4921535433138198,1.1382825,1699
PIM2,True,0.11000387067846318,2.6689294894947144,1.9013739,592
SLC35A2,True,0.07758768178161946,2.5709048418281646,1.4782294,1064
GATA1,True,0.34912551149835025,2.5513164596517672,1.393672,1192
TIMP1,True,0.8899862035421515,3.2552107820072367,4.1677146,42
GABRE,True,0.24204835696206561,2.6952331387108766,2.0149193,497
FLT1,True,0.05421358646903754,2.746300938491114,2.2353644,364
KATNAL1,True,0.22736259148491622,2.5112249674222458,1.2206085,1498
CLCN7,True,0.4344586592458819,2.5261931407488634,1.2841283,1384
SLC7A5,True,0.8213822186665543,2.606037293938789,1.1386298,1698
CPPED1,True,0.6606094020517124,2.5476019764994353,1.4082764,1174
CORO7-PAM16,True,0.08017375772780631,2.8752137339088892,2.7918441,168
TOX3,True,0.040485915989517215,2.504898722110009,1.1932998,1564
SYT17,True,0.15067694265832351,2.4649249767688444,1.0207446,1966
ACSBG1,True,0.08028421910956228,2.6317550631961444,1.7409024,729
RPAP1,True,0.22240466728298644,2.4657074520523143,1.0241222,1958
SCG3,True,0.22002785857052043,2.671879634672966,1.9141089,581
