epoch,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss_step
39,180.5453643798828,679.12939453125,361.0748291015625,318.0546569824219,0.0,172.16188049316406,510.2346496582031,344.3154602050781,165.91917419433594,0.0,169.10423278808594
40,180.3507080078125,761.0902709960938,360.6813659667969,400.40887451171875,0.0,171.86325073242188,543.3917846679688,343.7165222167969,199.67526245117188,0.0,187.47775268554688
41,180.12020874023438,691.4200439453125,360.22381591796875,331.19610595703125,0.0,171.86334228515625,583.7811889648438,343.7146911621094,240.0664520263672,0.0,180.0932159423828
42,180.1778564453125,1762.0543212890625,360.28564453125,1401.768798828125,0.0,171.43057250976562,515.156494140625,342.8525085449219,172.3039093017578,0.0,174.89337158203125
43,179.79324340820312,759.7366943359375,359.5664978027344,400.1701965332031,0.0,171.4628448486328,510.0399169921875,342.9173278808594,167.12257385253906,0.0,167.3385009765625
44,179.5784149169922,656.3233032226562,359.1419677734375,297.18133544921875,0.0,171.26034545898438,515.5151977539062,342.5120849609375,173.00311279296875,0.0,171.55361938476562
45,179.23318481445312,610.7763061523438,358.4537353515625,252.3225860595703,0.0,171.079833984375,533.3269653320312,342.15008544921875,191.17689514160156,0.0,177.9720458984375
46,179.0608367919922,697.6409912109375,358.10467529296875,339.5363464355469,0.0,170.82672119140625,501.6607971191406,341.6454772949219,160.01528930664062,0.0,
47,178.83387756347656,612.2748413085938,357.6549987792969,254.61968994140625,0.0,170.47186279296875,527.5389404296875,340.9344177246094,186.6045684814453,0.0,
48,178.77239990234375,588.6168212890625,357.53326416015625,231.0836944580078,0.0,170.73501586914062,531.5396728515625,341.4605407714844,190.07916259765625,0.0,
49,178.66452026367188,678.8296508789062,357.3130187988281,321.51666259765625,0.0,170.23851013183594,507.5516357421875,340.4686584472656,167.08297729492188,0.0,
50,178.2064208984375,668.6760864257812,356.397216796875,312.27886962890625,0.0,170.12437438964844,509.9405822753906,340.24029541015625,169.70033264160156,0.0,
51,178.20785522460938,637.7681884765625,356.4016418457031,281.36663818359375,0.0,169.89109802246094,509.8941650390625,339.7736511230469,170.12051391601562,0.0,
52,177.8762664794922,1023.9675903320312,355.7190856933594,668.2486572265625,0.0,169.94683837890625,498.1142272949219,339.8857421875,158.22845458984375,0.0,
53,177.61834716796875,564.8365478515625,355.2262268066406,209.61033630371094,0.0,169.86070251464844,499.4731140136719,339.7134094238281,159.75970458984375,0.0,
54,177.2407684326172,567.597900390625,354.4708557128906,213.1269989013672,0.0,169.53689575195312,494.3858337402344,339.0660400390625,155.31980895996094,0.0,
55,177.423828125,560.9215698242188,354.83734130859375,206.08421325683594,0.0,169.40858459472656,500.6843566894531,338.80908203125,161.87533569335938,0.0,
56,177.2070770263672,562.8829345703125,354.4037170410156,208.479248046875,0.0,169.32362365722656,500.1966857910156,338.63916015625,161.55751037597656,0.0,
57,177.07037353515625,546.8683471679688,354.1311340332031,192.73712158203125,0.0,169.148193359375,503.03662109375,338.2881164550781,164.74850463867188,0.0,
58,176.82374572753906,564.3330078125,353.6369323730469,210.69607543945312,0.0,169.01268005371094,494.7237548828125,338.0175476074219,156.70619201660156,0.0,
59,176.47308349609375,534.5492553710938,352.9371032714844,181.61209106445312,0.0,169.06919860839844,497.3559875488281,338.13043212890625,159.22557067871094,0.0,
60,176.22189331054688,528.2781982421875,352.4349670410156,175.84317016601562,0.0,168.89627075195312,497.1820373535156,337.7845764160156,159.39747619628906,0.0,
