epoch,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss_step
1,298.2892150878906,744.0849609375,596.5709838867188,147.51397705078125,0.0,233.2775421142578,814.5054931640625,466.5376892089844,347.9677734375,0.0,197.21823120117188
2,212.05963134765625,4332.9501953125,423.923828125,3909.026611328125,0.0,202.54306030273438,2404.964599609375,404.98614501953125,1999.9783935546875,0.0,201.8789825439453
3,203.2643585205078,3746.985107421875,406.3617248535156,3340.624267578125,0.0,187.67572021484375,10975.052734375,374.8214416503906,10600.2314453125,0.0,198.28005981445312
4,198.21142578125,4164.79150390625,396.2344665527344,3768.557373046875,0.0,191.7167205810547,24956.587890625,382.2047424316406,24574.384765625,0.0,189.35618591308594
5,195.77711486816406,4386.15234375,391.3544921875,3994.79736328125,0.0,188.74749755859375,103280.8515625,372.3495788574219,102908.4921875,0.0,192.4711151123047
6,194.47262573242188,4289.9814453125,388.7500915527344,3901.2314453125,0.0,185.27554321289062,85255.796875,366.306640625,84889.484375,0.0,179.9036102294922
7,192.7883758544922,4236.21923828125,385.38421630859375,3850.83544921875,0.0,182.06671142578125,15771.0302734375,363.3630676269531,15407.6689453125,0.0,193.92755126953125
8,192.09002685546875,6165.3388671875,383.8910217285156,5781.4482421875,0.0,182.92092895507812,4695.83642578125,365.6253662109375,4330.21044921875,0.0,191.4120635986328
9,191.23329162597656,4029.393310546875,382.2841796875,3647.110107421875,0.0,180.82940673828125,2441.656494140625,361.5548095703125,2080.1015625,0.0,201.38037109375
10,190.83734130859375,6711.2529296875,381.3581237792969,6329.89404296875,0.0,180.1095733642578,2852.454345703125,360.09454345703125,2492.35986328125,0.0,168.55490112304688
11,190.1827392578125,3775.361328125,380.19573974609375,3395.16552734375,0.0,179.9161376953125,748.0729370117188,359.8128967285156,388.2600402832031,0.0,179.0431671142578
12,189.39251708984375,2269.241943359375,378.69049072265625,1890.5513916015625,0.0,179.83580017089844,1673.8409423828125,359.6059265136719,1314.2349853515625,0.0,199.22186279296875
13,188.43711853027344,3675.412353515625,376.7093200683594,3298.70361328125,0.0,179.84669494628906,1072.8131103515625,359.65771484375,713.1553344726562,0.0,194.072509765625
14,188.40660095214844,3958.670166015625,376.63409423828125,3582.035888671875,0.0,178.5558319091797,1216.05517578125,357.0687561035156,858.9865112304688,0.0,190.4519500732422
15,187.1650390625,2590.975830078125,374.2192687988281,2216.75732421875,0.0,177.9745330810547,737.1092529296875,355.9300231933594,381.17919921875,0.0,198.29258728027344
16,187.0419921875,2910.97265625,373.9571228027344,2537.015380859375,0.0,178.16778564453125,582.6873779296875,356.32427978515625,226.3631134033203,0.0,192.0371551513672
17,186.90084838867188,2757.060302734375,373.6825256347656,2383.3779296875,0.0,177.66453552246094,556.4583740234375,355.31903076171875,201.13931274414062,0.0,189.97848510742188
18,186.55645751953125,5179.17724609375,372.8726501464844,4806.3046875,0.0,177.46246337890625,583.4819946289062,354.9134826660156,228.56849670410156,0.0,193.83926391601562
19,186.28684997558594,1420.38134765625,372.521240234375,1047.8602294921875,0.0,176.98973083496094,736.6882934570312,353.9603271484375,382.72796630859375,0.0,184.25901794433594
20,186.1253204345703,2271.051025390625,372.15570068359375,1898.895263671875,0.0,176.8595733642578,651.7425537109375,353.7042541503906,298.0382995605469,0.0,178.88052368164062
21,186.17013549804688,5340.0576171875,372.0919494628906,4967.96533203125,0.0,176.9395751953125,765.3275756835938,353.85858154296875,411.46905517578125,0.0,178.89529418945312
22,186.04957580566406,7289.39453125,371.75323486328125,6917.6416015625,0.0,177.0153045654297,699.6273193359375,354.0133056640625,345.6139831542969,0.0,176.00462341308594
23,185.74249267578125,940.7265625,371.4564514160156,569.2700805664062,0.0,177.23837280273438,1333.987060546875,354.42779541015625,979.5592651367188,0.0,178.81524658203125
24,185.04335021972656,1321.8319091796875,370.0390319824219,951.792724609375,0.0,176.9068145751953,593.4600830078125,353.8016662597656,239.6584014892578,0.0,204.5684814453125
25,184.96092224121094,840.8633422851562,369.8982238769531,470.9650573730469,0.0,176.4989776611328,601.7906494140625,352.98553466796875,248.80508422851562,0.0,187.63583374023438
26,184.3915557861328,1303.5745849609375,368.736328125,934.8386840820312,0.0,175.96075439453125,535.2136840820312,351.9123229980469,183.30128479003906,0.0,188.473388671875
